NEW-Gene-ID,Zscore,Direction,P
EREG,2.298,+,0.02158
MANBA,2.297,+,0.0216
CPD,2.297,+,0.02161
GNL3L,-2.297,-,0.02163
CEP85L,-2.297,-,0.02163
SUMF1,2.296,+,0.02165
CCBL2,-2.296,-,0.02167
C16orf13,-2.296,-,0.02169
DYNLT3,-2.295,-,0.02171
RPRM,2.295,+,0.02174
FBLN7,-2.295,-,0.02175
ZFY,-2.295,-,0.02176
IFNAR2,-2.292,-,0.02191
PHLDB1,2.291,+,0.02195
REV3L,-2.29,-,0.02199
ABHD14B,-2.29,-,0.02203
MMAB,-2.29,-,0.02203
SCAF8,-2.289,-,0.02207
ANO7,2.289,+,0.02207
BPHL,-2.288,-,0.02214
KLHL21,2.288,+,0.02215
RAMP1,2.287,+,0.02217
LNPEP,2.287,+,0.02218
ZNF821,2.286,+,0.02224
PRPF38B,-2.286,-,0.02224
ARF4,-2.286,-,0.02224
SH3BP4,-2.286,-,0.02228
CPSF2,-2.285,-,0.02229
KLHL2,2.285,+,0.02233
CDCP1,2.284,+,0.02237
RNF41,2.283,+,0.02242
PPP1R12B,-2.283,-,0.02245
CIR1,-2.282,-,0.02247
KCNK12,2.282,+,0.02247
FAM89A,-2.282,-,0.02247
PGK1,2.282,+,0.0225
TMPRSS3,2.281,+,0.02255
SPTA1,-2.281,-,0.02256
NSD1,2.28,+,0.0226
MANBAL,2.28,+,0.0226
GLI3,2.279,+,0.02266
OSER1,2.279,+,0.0227
DCAF15,2.278,+,0.02275
GPBP1L1,2.277,+,0.02276
HOXC13,2.277,+,0.02282
SKA2,2.276,+,0.02283
LIMS1,-2.276,-,0.02286
CCDC174,-2.276,-,0.02287
TEF,2.276,+,0.02287
MTMR12,2.275,+,0.02288
NDUFB5,-2.275,-,0.02288
VRK3,2.275,+,0.0229
FIBCD1,2.275,+,0.0229
RTKN,2.275,+,0.02291
DNAJA1,-2.274,-,0.02294
NRIP3,2.274,+,0.02297
ZBTB39,-2.274,-,0.02298
PDDC1,-2.274,-,0.02299
CHTF18,-2.273,-,0.02304
PIK3R2,2.272,+,0.02309
SEMA7A,2.272,+,0.0231
FAM111A,2.271,+,0.02317
MXD4,2.271,+,0.02317
GPHN,-2.269,-,0.02324
C14orf166,-2.269,-,0.02324
EPDR1,2.269,+,0.0233
WDR44,-2.268,-,0.02335
UFSP1,-2.267,-,0.02336
GPR35,2.267,+,0.02336
SLC25A4,-2.267,-,0.02339
C6orf211,2.267,+,0.02342
RNF207,2.266,+,0.02344
LIMA1,-2.264,-,0.02355
RPL23,-2.263,-,0.02362
HDHD3,-2.263,-,0.02363
DNAJB5,2.262,+,0.02369
NDUFV3,-2.262,-,0.0237
ARID4B,-2.261,-,0.02374
WDR55,2.261,+,0.02379
STRN3,-2.26,-,0.02382
PTTG1IP,2.26,+,0.02382
LINC00615,2.26,+,0.02385
SORCS1,2.258,+,0.02392
STXBP1,-2.258,-,0.02394
PMM2,-2.257,-,0.02399
NCAPG2,-2.257,-,0.02402
POLQ,-2.257,-,0.02403
KDM3B,2.257,+,0.02403
LOC286016,2.257,+,0.02404
C19orf24,-2.256,-,0.02404
NEK3,2.256,+,0.02404
ZNF177,-2.256,-,0.02406
SMIM3,2.256,+,0.02408
ITGA5,2.256,+,0.02409
ZNF37A,-2.256,-,0.0241
SLC25A10,2.255,+,0.02412
MRPL21,2.255,+,0.02413
PANK4,-2.254,-,0.02418
CTLA4,2.254,+,0.02421
BPESC1,2.253,+,0.02426
ZNF32,-2.253,-,0.02427
SQLE,-2.253,-,0.02428
ZCCHC24,2.252,+,0.0243
DNAJC6,-2.252,-,0.02431
HACL1,-2.252,-,0.02434
SNRPB2,-2.251,-,0.02437
RPGR,-2.251,-,0.02439
PRPF40A,-2.251,-,0.0244
TMEM53,2.251,+,0.0244
EIF5A,2.251,+,0.02441
TRAPPC11,-2.251,-,0.02442
MVD,2.25,+,0.02444
CDH11,2.25,+,0.02445
HUS1,2.25,+,0.02448
ATAD2,-2.249,-,0.02448
DIP2C,-2.249,-,0.02449
MFSD2B,2.249,+,0.0245
EXOSC3,-2.249,-,0.02453
SCHIP1,-2.248,-,0.02455
FEM1A,2.247,+,0.02461
TLR7,2.247,+,0.02461
CIDEA,2.247,+,0.02462
CENPI,-2.246,-,0.02469
ARL17A,-2.245,-,0.02477
HDAC7,-2.245,-,0.02477
SNRNP27,-2.245,-,0.02477
EVA1B,2.245,+,0.02477
TIPRL,2.245,+,0.02478
LOC442454,-2.244,-,0.02483
MTMR1,-2.244,-,0.02485
BRPF1,-2.243,-,0.02487
PCDHB10,2.243,+,0.02487
NSL1,2.243,+,0.02488
KMT2A,-2.243,-,0.0249
COCH,-2.243,-,0.0249
JUN,2.243,+,0.02492
CDHR3,-2.243,-,0.02493
XPO7,2.242,+,0.02496
ASPH,2.242,+,0.02499
ZNF213,2.241,+,0.025
PPFIA1,2.241,+,0.02502
SPAG1,2.241,+,0.02503
PNPLA1,2.241,+,0.02504
ZNF566,-2.24,-,0.02506
C17orf97,-2.24,-,0.02506
SEC14L1,-2.24,-,0.02508
SIK1,-2.24,-,0.02509
NUDT11,-2.24,-,0.02509
TAF13,-2.239,-,0.02514
CCR1,2.239,+,0.02515
RASAL3,2.238,+,0.02521
PRDM2,2.238,+,0.02523
GPI,2.238,+,0.02524
C4orf32,2.238,+,0.02525
FYN,2.237,+,0.02528
PTGR2,-2.237,-,0.0253
PPP2R1A,-2.237,-,0.0253
ZNF2,-2.237,-,0.02531
ACVR1,-2.236,-,0.02532
CXXC1,-2.236,-,0.02533
ARG2,2.236,+,0.02538
ZBTB21,-2.234,-,0.02546
C7orf50,2.234,+,0.0255
CLDN23,2.234,+,0.02551
RUFY3,-2.234,-,0.02551
SH3BGRL,-2.233,-,0.02553
ZHX2,-2.232,-,0.02562
SP5,2.232,+,0.02563
ZFYVE1,2.231,+,0.02567
PTBP2,-2.231,-,0.02569
CSHL1,2.23,+,0.02574
CD34,-2.23,-,0.02576
MGA,2.23,+,0.02577
DDX58,2.229,+,0.02579
DCP2,-2.229,-,0.02584
ALYREF,-2.228,-,0.02589
SNX15,2.227,+,0.02594
NUB1,2.227,+,0.02596
ANKRD17,-2.227,-,0.02597
SPERT,2.226,+,0.02604
PARP16,-2.225,-,0.02606
CCNT2,-2.225,-,0.02608
PIEZO2,2.224,+,0.02612
TMEM161A,-2.224,-,0.02612
FBXW11,2.224,+,0.02614
PEF1,2.224,+,0.02615
SP8,2.224,+,0.02617
DAB2,2.222,+,0.02625
PSMD3,-2.222,-,0.02626
VSTM4,2.222,+,0.02628
CLN8,-2.222,-,0.02631
DOCK7,-2.222,-,0.02631
WDR11,2.221,+,0.02633
PAIP1,2.221,+,0.02634
SCAND2P,-2.221,-,0.02634
SPCS1,-2.221,-,0.02636
RNF7,2.219,+,0.02649
AFAP1,2.219,+,0.02652
TRMT61B,-2.218,-,0.02655
DNM2,2.218,+,0.02657
PCBP1,-2.216,-,0.02667
ACADS,2.216,+,0.02668
TICAM1,2.215,+,0.02675
NPCDR1,-2.215,-,0.02678
UTP3,-2.214,-,0.02682
SPPL2B,-2.214,-,0.02685
EMC1,-2.213,-,0.02688
RFC2,2.213,+,0.02689
CRHBP,2.213,+,0.02691
FSD1,2.213,+,0.02692
ZDHHC1,2.212,+,0.02699
TRMT12,-2.211,-,0.02706
POLR3F,-2.21,-,0.02712
UBE2E3,2.209,+,0.02716
PSRC1,2.209,+,0.02718
L3HYPDH,-2.208,-,0.02726
HOXD3,2.208,+,0.02726
LYSMD2,-2.208,-,0.02726
MAP1A,2.207,+,0.02728
SMPD3,2.207,+,0.02733
ELL2,-2.207,-,0.02734
BRCA1,-2.206,-,0.02737
PUF60,-2.206,-,0.02737
THRA,-2.206,-,0.02739
CLUL1,2.206,+,0.02739
PDZD11,2.206,+,0.0274
BRI3,2.205,+,0.02743
UBN1,2.205,+,0.02743
RAX2,2.205,+,0.02745
PLEKHN1,2.203,+,0.02756
SLA2,2.203,+,0.02756
CDYL,-2.203,-,0.02758
WDR86,-2.203,-,0.02758
TMEM41A,-2.202,-,0.02768
MFAP1,-2.202,-,0.02768
CAPN3,2.202,+,0.02769
ZNF425,-2.201,-,0.02772
C12orf43,-2.201,-,0.02773
CDC42SE2,-2.201,-,0.02776
GMPR,2.2,+,0.02777
SCAMP1,2.2,+,0.02779
OR11A1,2.2,+,0.02784
CDCA5,-2.198,-,0.02794
CEBPB,2.198,+,0.02795
GGA1,2.197,+,0.028
MOV10,2.197,+,0.02802
USP46,2.197,+,0.02805
CENPM,-2.197,-,0.02805
NQO1,2.196,+,0.02806
MPLKIP,-2.196,-,0.02808
CHURC1,-2.196,-,0.02811
PRICKLE1,-2.196,-,0.02812
ATG5,-2.196,-,0.02813
WIPF3,2.195,+,0.02816
GBAP1,2.194,+,0.02821
SEC23A,-2.193,-,0.02828
SNRNP200,-2.193,-,0.0283
C7orf13,-2.193,-,0.02831
COL4A3BP,2.193,+,0.02832
TMEM68,-2.192,-,0.02835
MME,2.192,+,0.02838
PLCL2,-2.191,-,0.02845
DCHS1,-2.19,-,0.0285
IDO2,2.19,+,0.02854
L3MBTL2,-2.19,-,0.02855
AACS,-2.189,-,0.02858
C2orf88,-2.189,-,0.02859
BPIFA1,2.188,+,0.02866
MMP25,2.188,+,0.02869
ATP11C,-2.188,-,0.02869
UBR7,-2.187,-,0.02871
SLC16A12,2.187,+,0.02872
ATF6,2.187,+,0.02875
TATDN1,-2.187,-,0.02875
ITIH4,2.186,+,0.02879
NIP7,-2.186,-,0.02885
RNF112,2.185,+,0.02886
PF4V1,2.185,+,0.02889
SCN7A,2.185,+,0.02889
FZD7,2.185,+,0.02892
CABP4,2.184,+,0.02894
TNFRSF18,2.184,+,0.02896
PDE8A,-2.184,-,0.02898
COX20,-2.183,-,0.02903
ZNF438,2.183,+,0.02906
TOX2,-2.182,-,0.02908
TRIM11,2.182,+,0.02908
SCYL1,-2.182,-,0.02908
TUBA1B,-2.182,-,0.02912
NADK2,-2.182,-,0.02912
RAE1,-2.182,-,0.02912
FBXL19-AS1,2.181,+,0.02921
CEP63,-2.18,-,0.02923
PI4K2A,2.18,+,0.02927
UBA7,2.18,+,0.02928
ZNF137P,-2.179,-,0.02931
CHD2,-2.179,-,0.02934
RFXANK,2.179,+,0.02934
MRPL28,2.179,+,0.02935
NEURL2,-2.178,-,0.02941
TAF9,-2.178,-,0.02942
AKAP10,-2.178,-,0.02942
DOM3Z,-2.178,-,0.02942
RALGPS1,2.177,+,0.02951
ISYNA1,-2.176,-,0.02954
GRIN2A,2.176,+,0.02957
DNAJC13,2.175,+,0.02963
YPEL4,2.174,+,0.02969
LAMB3,2.174,+,0.02971
ANKRD50,2.174,+,0.02971
SREK1IP1,-2.173,-,0.02975
KLK10,2.173,+,0.02978
CRIP2,2.173,+,0.02978
MEGF8,2.173,+,0.0298
CCDC77,-2.173,-,0.02981
DTX2,2.173,+,0.02981
TAF1L,-2.172,-,0.02983
GOLPH3,2.172,+,0.02984
RPS24,-2.172,-,0.02985
SLC16A5,2.172,+,0.02986
LAX1,2.172,+,0.02988
HS2ST1,-2.171,-,0.02993
ZNF34,2.171,+,0.02997
WDR5B,-2.17,-,0.03002
AGO3,2.167,+,0.03021
MLXIPL,2.167,+,0.03021
TRIOBP,2.164,+,0.03045
ZNF627,-2.164,-,0.03049
LZTFL1,-2.163,-,0.03051
LAMP2,2.163,+,0.03054
POGZ,2.162,+,0.03061
ALAS2,2.162,+,0.03063
INPP4A,2.161,+,0.03069
FAM150B,2.161,+,0.0307
IP6K2,2.161,+,0.03073
C15orf41,-2.161,-,0.03073
LRP10,2.16,+,0.03075
CNPPD1,2.16,+,0.03076
MCFD2,2.159,+,0.03082
SMU1,-2.159,-,0.03086
HIST1H2AG,-2.158,-,0.03089
ST3GAL1,-2.159,-,0.03089
METTL21B,-2.158,-,0.03089
CCDC68,2.158,+,0.0309
SETD2,-2.156,-,0.03105
SFTPB,2.156,+,0.03106
KIFC2,2.156,+,0.03108
ACRBP,2.156,+,0.03112
LDLR,2.155,+,0.03117
RPS6KL1,2.154,+,0.03122
B3GALT6,-2.154,-,0.03123
LACTB2,-2.154,-,0.03125
DENND1C,2.153,+,0.03135
FRG1,2.151,+,0.03146
SNX8,2.149,+,0.03166
FAM127B,2.148,+,0.03168
LGALS14,2.148,+,0.03168
ZC3H7A,-2.148,-,0.03171
HPSE2,2.147,+,0.03179
BCORL1,2.147,+,0.03182
ZNF417,-2.146,-,0.03185
SH3BP1,2.146,+,0.03189
TBC1D7,2.145,+,0.03194
DLEC1,2.145,+,0.03195
SMG1,-2.145,-,0.03199
NCOR2,2.144,+,0.032
CEBPG,2.144,+,0.03202
PHYH,-2.144,-,0.03202
UBR1,-2.144,-,0.03202
PHKG1,2.144,+,0.03204
TP53INP2,2.143,+,0.0321
CABLES1,2.143,+,0.0321
SIPA1L1,2.143,+,0.03215
GLUD2,2.142,+,0.03222
CD180,-2.141,-,0.03226
ABHD11,2.141,+,0.03227
GUCY1A3,2.14,+,0.03236
SPTBN2,2.139,+,0.03245
ZDHHC8,-2.137,-,0.03256
SDC3,2.137,+,0.03257
SCYL2,-2.137,-,0.03257
BCL2L13,-2.137,-,0.03257
SNRNP48,-2.137,-,0.03262
TFRC,-2.136,-,0.03268
RBMS1,2.136,+,0.0327
LAIR1,2.135,+,0.03272
PPM1A,-2.135,-,0.03273
CD1E,2.135,+,0.03274
CBR4,-2.135,-,0.03275
SSR4,-2.135,-,0.03276
SNRNP40,-2.134,-,0.03282
ERBB3,2.134,+,0.03284
CYLC2,2.134,+,0.03285
RAB43,-2.134,-,0.03285
CCDC151,2.133,+,0.03292
DAZAP1,-2.133,-,0.03295
SLFN12,2.132,+,0.03302
CCM2,2.131,+,0.03305
THNSL2,2.131,+,0.03308
CPEB4,2.131,+,0.03309
GXYLT1,-2.131,-,0.0331
CDK2,-2.13,-,0.03315
VPS13B,2.13,+,0.03316
ALDH8A1,2.13,+,0.03319
DMRTB1,2.13,+,0.03321
GSTK1,2.129,+,0.03323
LIPE,-2.129,-,0.03325
KRT73,-2.128,-,0.03332
TMEM176A,2.128,+,0.03333
UNC13D,2.128,+,0.03334
SPEG,2.128,+,0.03336
GPR108,2.127,+,0.03339
MSTO1,-2.127,-,0.0334
RBPJL,2.127,+,0.03341
MAGED2,2.126,+,0.03346
TBC1D8,2.126,+,0.03347
CLEC3B,2.126,+,0.03349
PPP2R5E,-2.126,-,0.03351
STIM1,2.125,+,0.03355
PKD1L1,2.125,+,0.03356
MORC3,-2.125,-,0.03362
TRRAP,-2.124,-,0.0337
RBM12B,-2.123,-,0.03372
YES1,-2.123,-,0.03374
ATXN3,-2.123,-,0.03377
KIAA0368,2.122,+,0.03381
DACT3,2.122,+,0.03383
MPST,2.121,+,0.03392
WIPI2,2.121,+,0.03394
NDST2,2.121,+,0.03395
PDLIM5,2.12,+,0.03401
UEVLD,2.12,+,0.03401
BRD3,2.12,+,0.03405
PMS2CL,-2.12,-,0.03405
DECR1,2.119,+,0.03409
DRG1,-2.119,-,0.03409
CARD11,-2.119,-,0.03411
ATOH8,2.118,+,0.03415
LAMA1,2.118,+,0.03415
PSMG1,-2.116,-,0.0343
SRPK2,2.116,+,0.03435
SPATC1,2.116,+,0.03438
NFE2L3,2.116,+,0.03438
GTF2B,-2.115,-,0.0344
SMYD5,-2.115,-,0.03442
STYX,-2.115,-,0.03443
RBM45,-2.113,-,0.03456
HECA,-2.113,-,0.03457
ATP6AP1,2.113,+,0.03463
ZNF280B,-2.112,-,0.03464
LDHA,2.112,+,0.03464
BMP2K,2.112,+,0.03465
ARHGEF28,2.112,+,0.03469
THSD4,2.112,+,0.03471
SDHA,2.112,+,0.03473
HAX1,-2.111,-,0.03478
MYO9B,2.11,+,0.03485
DPP7,2.11,+,0.03489
DPY19L3,2.108,+,0.03501
BMP1,2.108,+,0.03505
MRPL13,-2.107,-,0.03512
RPS4Y2,-2.106,-,0.03517
IMP4,-2.106,-,0.03525
MARCKS,-2.105,-,0.03528
BRIP1,-2.105,-,0.03528
CERS2,2.105,+,0.0353
MUC4,2.104,+,0.03541
HMBOX1,2.103,+,0.03544
HIF3A,2.103,+,0.03545
ZNF35,2.103,+,0.03546
ATP2C1,-2.103,-,0.03547
CEP76,-2.102,-,0.03555
GSE1,2.101,+,0.0356
PACS1,-2.101,-,0.03562
CRYM,2.101,+,0.03565
MPHOSPH8,-2.101,-,0.03567
TSFM,-2.101,-,0.03567
VAMP1,-2.1,-,0.03569
HSPBAP1,2.1,+,0.03571
TAF8,2.099,+,0.03584
BMPR2,2.098,+,0.03588
RNPS1,-2.098,-,0.03589
DPEP2,-2.098,-,0.03589
FTSJ1,-2.098,-,0.03593
UBE2B,-2.097,-,0.03597
ADCK3,-2.097,-,0.03602
HLA-DPB1,2.096,+,0.03605
GALT,-2.096,-,0.03609
ISCA1,-2.096,-,0.03612
KRT79,2.095,+,0.03616
ZNF160,2.094,+,0.03622
DHX8,2.094,+,0.03625
EMC7,2.093,+,0.03633
CTBS,2.093,+,0.03634
GRK6,2.093,+,0.03634
SCAMP5,-2.093,-,0.03636
CRCP,2.093,+,0.03638
ATP6V1B2,2.093,+,0.03639
NLRC3,2.092,+,0.0364
NSUN3,2.092,+,0.03648
MRPS30,-2.091,-,0.03651
FLJ45248,2.091,+,0.03652
AVIL,2.09,+,0.03658
PRIM2,-2.09,-,0.03661
KAZN,2.09,+,0.03666
PRR15L,2.089,+,0.03667
MEF2BNB-MEF2B,2.089,+,0.03671
DKKL1,2.088,+,0.03676
PPFIBP1,-2.088,-,0.03679
MAFF,-2.088,-,0.0368
TMEM59,2.087,+,0.03685
ZFAND5,-2.087,-,0.0369
GMPPA,2.086,+,0.03697
TM9SF3,-2.086,-,0.03701
ST3GAL6,2.085,+,0.03703
FASTK,-2.085,-,0.03704
EHD2,2.085,+,0.03709
ZNF767,-2.084,-,0.03713
ATAD3C,2.084,+,0.03716
MAFK,2.084,+,0.03718
CD82,2.083,+,0.03721
ENOX2,-2.083,-,0.03723
TSTD2,-2.083,-,0.03724
WASF3,2.082,+,0.03731
GSDMB,-2.082,-,0.03732
CARKD,-2.082,-,0.03734
DNAJB2,2.081,+,0.03741
SNX19,2.08,+,0.03749
GMPR2,2.08,+,0.03749
H3F3B,-2.08,-,0.0375
SLC35C2,-2.08,-,0.03757
ZDHHC18,2.079,+,0.03759
SPRTN,-2.079,-,0.03765
FAM207A,-2.078,-,0.03771
TBC1D22A,2.078,+,0.03773
MAN2B1,2.077,+,0.03776
ARID5A,2.076,+,0.03786
TRNAU1AP,2.076,+,0.03792
UPK3A,2.074,+,0.03806
ZBTB34,2.073,+,0.03815
TRIM58,2.073,+,0.03816
THAP7,-2.073,-,0.03818
HYPK,-2.073,-,0.0382
ZNF174,-2.072,-,0.03823
SLC16A2,2.071,+,0.03837
SERGEF,-2.07,-,0.03842
QKI,2.07,+,0.03843
VSIG10,2.07,+,0.03848
TBCC,2.069,+,0.03852
TRIM62,2.069,+,0.03856
TLR9,-2.069,-,0.03857
C16orf87,-2.068,-,0.0386
SPATA31E1,2.068,+,0.03869
UBQLN3,2.067,+,0.03875
DICER1-AS1,-2.066,-,0.03878
DCLRE1C,2.066,+,0.03878
OBFC1,2.066,+,0.03879
VASH1,2.066,+,0.03881
PEX7,-2.066,-,0.03881
KAT8,-2.065,-,0.03888
DYRK4,-2.065,-,0.03891
SPAG9,2.065,+,0.03891
PLEC,2.065,+,0.03892
ARMCX3,-2.064,-,0.03898
CENPJ,-2.063,-,0.03908
SLED1,2.063,+,0.03908
HBS1L,-2.063,-,0.03911
INVS,-2.063,-,0.03913
LIX1L,-2.063,-,0.03916
POLR2K,2.062,+,0.03923
ZKSCAN3,-2.061,-,0.03932
KLHL17,2.06,+,0.03935
OR8J3,2.058,+,0.03955
PTGIR,2.058,+,0.03962
MOB4,-2.057,-,0.03967
PIP4K2B,-2.057,-,0.03967
CCNH,2.057,+,0.0397
TUBA3FP,2.057,+,0.0397
C17orf85,-2.056,-,0.03979
KLRG1,2.056,+,0.03979
FES,2.055,+,0.03984
PGAP2,-2.054,-,0.03998
CACNB1,2.054,+,0.03999
NCOR2,2.053,+,0.04003
SLC41A3,-2.053,-,0.04011
C11orf45,2.052,+,0.04013
RANBP3,-2.052,-,0.04014
MITD1,-2.052,-,0.0402
SEC22A,-2.052,-,0.04021
SORL1,2.051,+,0.04023
ERCC2,-2.051,-,0.04024
ZKSCAN4,-2.051,-,0.04026
COG1,-2.05,-,0.04034
SLC22A18,2.05,+,0.04036
CENPL,-2.05,-,0.04041
ZBTB8OS,2.049,+,0.04042
COL23A1,2.049,+,0.04048
C9orf114,-2.048,-,0.04053
CUTC,-2.048,-,0.04055
MAP2K2,2.048,+,0.04057
CDC123,-2.048,-,0.04061
IFNA4,2.047,+,0.04067
RFX1,2.047,+,0.04067
GBP3,2.047,+,0.04068
APOL4,2.047,+,0.04069
PTGES2,-2.046,-,0.04074
DOCK3,-2.046,-,0.04079
FCRL5,2.045,+,0.04086
LMF2,2.045,+,0.04087
SYN2,2.044,+,0.04092
INTS12,-2.043,-,0.04106
TRMT2B,-2.042,-,0.04112
GTPBP1,2.041,+,0.04124
ITGAX,2.041,+,0.04129
MDC1,-2.04,-,0.04132
HDX,2.04,+,0.04134
POFUT2,2.04,+,0.04137
LOC554206,-2.039,-,0.04143
COPS5,-2.039,-,0.04143
TNIP1,2.038,+,0.04155
PROCR,2.038,+,0.04156
HRSP12,-2.038,-,0.04159
TSR2,-2.036,-,0.04171
DFFA,-2.036,-,0.04174
DHRS1,2.035,+,0.04181
GTF2IRD1,2.035,+,0.0419
CCDC97,2.034,+,0.04193
HIST2H2BE,-2.034,-,0.04195
DUS1L,-2.034,-,0.04195
SLC25A46,-2.034,-,0.042
HEMGN,-2.032,-,0.04213
ZNF133,-2.032,-,0.04214
CNTNAP5,2.032,+,0.04214
ATL2,-2.031,-,0.04224
HSBP1,2.031,+,0.04226
CD2BP2,2.031,+,0.04229
CTXN1,2.031,+,0.04229
GPR119,2.031,+,0.04229
PPP2R5B,2.03,+,0.04233
MGRN1,2.03,+,0.04233
FLAD1,2.03,+,0.04237
UBE2J2,2.029,+,0.04246
ITLN1,2.029,+,0.04249
DVL2,2.028,+,0.04251
GTF2H1,-2.028,-,0.04254
CALU,-2.028,-,0.04256
VSX2,2.028,+,0.04258
MCM6,-2.027,-,0.04265
RGR,2.027,+,0.04267
IL15RA,2.027,+,0.04267
INTS9,-2.027,-,0.04271
VPS37B,2.026,+,0.04273
ANKRD44,2.026,+,0.04281
PRKAB1,2.025,+,0.04284
RBM18,2.025,+,0.0429
ISL2,2.025,+,0.04291
THOP1,-2.024,-,0.04294
COPB2,2.024,+,0.04295
NAPRT1,2.024,+,0.04301
NDUFS8,-2.023,-,0.04302
EPHA3,2.023,+,0.04312
SRRM2,-2.022,-,0.04314
MPP7,2.022,+,0.04321
POFUT1,-2.021,-,0.04325
SPACA3,2.021,+,0.04329
CSNK2B,2.021,+,0.04331
CDH2,2.02,+,0.04338
ISLR,2.02,+,0.04339
DEPDC5,2.019,+,0.04344
PHKG2,2.019,+,0.04353
RNASEH2C,2.018,+,0.04354
MRPL49,-2.019,-,0.04354
STRAP,-2.018,-,0.04356
FOLR3,2.018,+,0.0436
TMEM186,-2.018,-,0.04362
NKX3-1,-2.017,-,0.04365
PIGY,-2.017,-,0.04367
ZNF271,-2.017,-,0.04374
GRINA,2.016,+,0.04376
B4GALT4,-2.016,-,0.04378
CRELD2,-2.016,-,0.04385
SDF4,2.015,+,0.04386
C19orf66,2.015,+,0.04389
PSMA3,-2.014,-,0.04399
AP3S2,2.014,+,0.04404
AGR3,2.014,+,0.04405
CHODL,2.014,+,0.04405
THG1L,-2.014,-,0.04406
C1orf101,-2.013,-,0.04407
EAF1,2.013,+,0.04412
NECAB3,2.012,+,0.04418
PSMF1,-2.01,-,0.04441
C18orf32,2.009,+,0.04456
HSPA14,-2.008,-,0.04464
OR51D1,2.008,+,0.04465
SMARCE1,-2.007,-,0.04474
USP6,2.007,+,0.04477
RRP7B,-2.005,-,0.04494
RPS6KA2,2.005,+,0.04498
CRAT,2.005,+,0.04499
ZNF565,-2.004,-,0.04503
CMPK2,2.003,+,0.04514
TTLL4,2.003,+,0.04515
ZNF12,-2.003,-,0.04517
FANCB,-2.001,-,0.04535
RP3-412A9.11,-2.001,-,0.04536
ZSWIM3,-2,-,0.04546
NFATC2IP,2,+,0.04548
TUBB4B,1.999,+,0.04559
PCCA,-1.999,-,0.04562
DIRAS3,1.998,+,0.04567
COX7B,1.998,+,0.04569
MT1H,1.997,+,0.0458
SCRN3,-1.997,-,0.04581
KBTBD11,-1.997,-,0.04582
SEC23B,-1.997,-,0.04585
CARD8,1.997,+,0.04588
CHMP5,1.996,+,0.0459
EDEM1,-1.996,-,0.0459
EXOC7,1.996,+,0.04592
ITGA4,-1.996,-,0.04593
RHOB,1.995,+,0.04603
VPS37A,-1.995,-,0.04607
ZNF124,-1.995,-,0.04607
ADCK1,-1.995,-,0.0461
RMDN1,-1.994,-,0.04611
TNFAIP2,1.993,+,0.04621
CCR4,1.992,+,0.04641
LL22NC03-80A10.6,-1.992,-,0.04641
NT5C3B,-1.991,-,0.04646
ELF1,-1.991,-,0.04653
GINS3,-1.991,-,0.04653
OPA3,-1.99,-,0.0466
RBP7,1.99,+,0.04661
ZNF394,1.99,+,0.04661
CDC34,1.99,+,0.04664
C6orf136,-1.989,-,0.04667
RACGAP1,1.989,+,0.04671
GSTM1,-1.988,-,0.04676
CHRNA6,1.987,+,0.04697
TEKT2,1.986,+,0.047
CHRNB1,-1.986,-,0.04701
KIAA0101,-1.986,-,0.04703
DYNLL1,1.985,+,0.04715
ADH5,-1.984,-,0.04725
FRAT2,-1.984,-,0.04731
HLA-DRB1,-1.983,-,0.04737
ACHE,1.983,+,0.04741
CD48,-1.983,-,0.04742
FAF2,-1.982,-,0.04752
ERCC8,-1.981,-,0.04754
PSMD10,-1.981,-,0.04758
IRF2BP2,1.981,+,0.04759
RNH1,1.981,+,0.04759
NDUFB3,1.981,+,0.04762
B3GNTL1,1.98,+,0.04769
LIG3,-1.98,-,0.04769
NIF3L1,-1.98,-,0.04771
WDR47,1.98,+,0.04772
PLD4,1.98,+,0.04773
TRERF1,1.979,+,0.04783
GDF1,1.978,+,0.04789
IL32,-1.978,-,0.04791
ATP5J,-1.978,-,0.04792
ZBTB16,1.978,+,0.04793
SLC30A9,-1.976,-,0.04818
CD320,1.975,+,0.04823
ABCD3,-1.975,-,0.04824
OSBPL6,1.975,+,0.04831
TROVE2,1.974,+,0.04834
CRKL,-1.974,-,0.04834
WASF2,1.974,+,0.04835
PLCH2,1.974,+,0.04838
KPNA3,-1.973,-,0.04846
GLUD1,-1.973,-,0.04851
CDO1,1.972,+,0.04863
VN1R2,1.972,+,0.04864
ACSM5,1.971,+,0.04868
ACSL3,1.97,+,0.04882
THEG,1.97,+,0.04885
CLIC5,-1.97,-,0.04889
SERINC3,1.969,+,0.0489
TBCA,-1.969,-,0.0489
CDK8,-1.969,-,0.04894
CPNE5,-1.969,-,0.04901
STRN4,1.968,+,0.04908
TRIM5,1.967,+,0.04914
ACTRT1,1.967,+,0.04919
SNX20,1.967,+,0.04923
RHOBTB2,1.966,+,0.04929
TCP10L,1.966,+,0.0493
ALLC,1.966,+,0.04931
SGCE,1.966,+,0.04931
UFC1,-1.966,-,0.04933
C5,1.966,+,0.04934
CAMKK1,1.965,+,0.04937
KLHDC8B,1.965,+,0.04939
FAM211A,1.965,+,0.04941
TRIM35,-1.965,-,0.04943
TTYH1,1.965,+,0.04943
NPEPL1,1.965,+,0.04943
SFSWAP,-1.964,-,0.04949
